HS92,HS96,HS02,HS07,HS12,HS17,BEC4,SITC1,SITC2,SITC3,SITC4,,,,,
010111,010111,010110,010110,010121,010121,41,0015,0015,00151,0015,,,,,
010111,010111,010110,010110,010121,010121,41,0015,0015,00152,0015,,,,,
010111,010111,010110,010110,010130,010130,41,0015,0015,00151,0015,,,,,
010111,010111,010110,010110,010130,010130,41,0015,0015,00152,0015,,,,,
010120,010120,010110,010110,010121,010121,41,0015,0015,00151,0015,,,,,
010120,010120,010110,010110,010121,010121,41,0015,0015,00152,0015,,,,,
010120,010120,010110,010110,010130,010130,41,0015,0015,00151,0015,,,,,
010120,010120,010110,010110,010130,010130,41,0015,0015,00152,0015,,,,,
010119,010119,010190,010190,010129,010129,111,0015,0015,00151,0015,,,,,
010119,010119,010190,010190,010129,010129,111,0015,0015,00152,0015,,,,,
010119,010119,010190,010190,010130,010130,111,0015,0015,00151,0015,,,,,
010119,010119,010190,010190,010130,010130,111,0015,0015,00152,0015,,,,,
010119,010119,010190,010190,010190,010190,111,0015,0015,00151,0015,,,,,
010119,010119,010190,010190,010190,010190,111,0015,0015,00152,0015,,,,,
010120,010120,010190,010190,010129,010129,111,0015,0015,00151,0015,,,,,
010120,010120,010190,010190,010129,010129,111,0015,0015,00152,0015,,,,,
010120,010120,010190,010190,010130,010130,111,0015,0015,00151,0015,,,,,
010120,010120,010190,010190,010130,010130,111,0015,0015,00152,0015,,,,,
010120,010120,010190,010190,010190,010190,111,0015,0015,00151,0015,,,,,
010120,010120,010190,010190,010190,010190,111,0015,0015,00152,0015,,,,,
010210,010210,010210,010210,010221,010221,41,0011,00111,00111,00111,,,,,
010210,010210,010210,010210,010231,010231,41,0011,00111,00111,00111,,,,,
010210,010210,010210,010210,010290,010290,41,0011,00111,00111,00111,,,,,
010290,010290,010290,010290,010229,010229,111,0011,00119,00119,00119,,,,,
010290,010290,010290,010290,010239,010239,111,0011,00119,00119,00119,,,,,
