SITC 1 digit code,SITC 1 digit description,SITC 2 digit code,SITC 2 digit description,SITC 3 digit code,SITC 3 digit description,SITC 4 digit code,SITC 4 digit description,SITC 5 digit code,SITC 5 digit description
0,Food and live animals,00,Live animals other than animals of division 03,001,"Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",001.1,"Bovine animals, live",001.11,Pure-bred breeding animals
0,Food and live animals,00,Live animals other than animals of division 03,001,"Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",001.1,"Bovine animals, live",001.19,Other than pure-bred breeding animals
0,Food and live animals,00,Live animals other than animals of division 03,001,"Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",001.2,"Sheep and goats, live",001.21,"Sheep, live"
0,Food and live animals,00,Live animals other than animals of division 03,001,"Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",001.2,"Sheep and goats, live",001.22,"Goats, live"
0,Food and live animals,00,Live animals other than animals of division 03,001,"Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",001.3,"Swine, live",001.31,Pure-bred breeding animals
0,Food and live animals,00,Live animals other than animals of division 03,001,"Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",001.3,"Swine, live",001.39,Other than pure-bred breeding animals
0,Food and live animals,00,Live animals other than animals of division 03,001,"Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",001.4,"Poultry, live (i.e., fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea-fowls)",001.41,"Poultry, live (i.e., fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea-fowls, weighing not more than 185 g"
0,Food and live animals,00,Live animals other than animals of division 03,001,"Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",001.4,"Poultry, live (i.e., fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea-fowls)",001.49,Other
0,Food and live animals,01,Meat and meat preparations,011,"Meat of bovine animals, fresh, chilled or frozen ;",011.1,"Meat of bovine animals, fresh or chilled",011.11,"Meat of bovine animals, fresh or chilled, with bone in"
0,Food and live animals,01,Meat and meat preparations,011,"Meat of bovine animals, fresh, chilled or frozen ;",011.1,"Meat of bovine animals, fresh or chilled",011.12,"Meat of bovine animals, fresh or chilled, boneless"
0,Food and live animals,01,Meat and meat preparations,011,"Meat of bovine animals, fresh, chilled or frozen ;",011.2,"Meat of bovine animals, frozen",011.21,"Meat of bovine animals, frozen, with bone in"
0,Food and live animals,01,Meat and meat preparations,011,"Meat of bovine animals, fresh, chilled or frozen ;",011.2,"Meat of bovine animals, frozen",011.22,"Meat of bovine animals, frozen, boneless"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.1,"Meat of sheep or goats, fresh, chilled or frozen",012.11,"Meat of sheep, fresh or chilled"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.1,"Meat of sheep or goats, fresh, chilled or frozen",012.12,"Meat of sheep, frozen"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.1,"Meat of sheep or goats, fresh, chilled or frozen",012.13,"Meat of goats, fresh, chilled or frozen"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.2,"Meat of swine, fresh, chilled or frozen",012.21,....fresh or chilled
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.2,"Meat of swine, fresh, chilled or frozen",012.22,....frozen
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.3,"Meat and edible offal of the poultry of subgroup 001.4, fresh, chilled or frozen",012.31,"Poultry not cut in pieces, fresh or chilled"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.3,"Meat and edible offal of the poultry of subgroup 001.4, fresh, chilled or frozen",012.32,"Poultry not cut in pieces, frozen"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.3,"Meat and edible offal of the poultry of subgroup 001.4, fresh, chilled or frozen",012.33,"Fatty livers of geese or ducks, fresh or chilled"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.3,"Meat and edible offal of the poultry of subgroup 001.4, fresh, chilled or frozen",012.34,"Poultry cuts and other offal, fresh or chilled"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.3,"Meat and edible offal of the poultry of subgroup 001.4, fresh, chilled or frozen",012.35,"Poultry cuts and offal, frozen"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.5,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",012.51,"....of bovine animals, fresh or chilled"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.5,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",012.52,"....of bovine animals, frozen"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.5,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",012.53,"....of swine, fresh or chilled"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.5,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",012.54,"....of swine, frozen"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.5,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",012.55,"....of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.5,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",012.56,"....of sheep, goats, horses, asses, mules or hinnies, frozen"
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.9,"Meat and edible meat offal, fresh, chilled or frozen, n.e.s.",012.91,Meat and edible meat offal of rabbits or hares
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.9,"Meat and edible meat offal, fresh, chilled or frozen, n.e.s.",012.93,Snails (other than sea snails)
0,Food and live animals,01,Meat and meat preparations,012,"Meat and edible meat offal, fresh, chilled or frozen (excl. meat and meat offal unfit or unsuitable for human consumption and meat of bovine animals) ;",012.9,"Meat and edible meat offal, fresh, chilled or frozen, n.e.s.",012.99,"Other meat and edible meat offal, fresh, chilled or frozen"
0,Food and live animals,01,Meat and meat preparations,016,"Meat and edible meat offal, salted, in brine, dried or smoked and edible flours and meals of meat or meat offal ;",016.1,"Bacon, ham and other salted, dried or smoked meat of swine",016.11,"Hams, shoulders and cuts thereof, with bone in"
0,Food and live animals,01,Meat and meat preparations,016,"Meat and edible meat offal, salted, in brine, dried or smoked and edible flours and meals of meat or meat offal ;",016.1,"Bacon, ham and other salted, dried or smoked meat of swine",016.12,Bellies (streaky) and cuts thereof
