degree_code,degree_label,SITC_code,SITC_label
TDRB,Labour-intensive and resource-intensive manufactures,611,Leather
TDRB,Labour-intensive and resource-intensive manufactures,612,"Manufactures of leather, n.e.s.; saddlery & harness"
TDRB,Labour-intensive and resource-intensive manufactures,613,"Furskins, tanned or dressed, excluding those of 8483"
TDRB,Labour-intensive and resource-intensive manufactures,633,Cork manufactures
TDRB,Labour-intensive and resource-intensive manufactures,634,"Veneers, plywood, and other wood, worked, n.e.s."
TDRB,Labour-intensive and resource-intensive manufactures,635,"Wood manufacture, n.e.s."
TDRB,Labour-intensive and resource-intensive manufactures,641,Paper and paperboard
TDRB,Labour-intensive and resource-intensive manufactures,642,"Paper & paperboard, cut to shape or size, articles"
TDRB,Labour-intensive and resource-intensive manufactures,651,Textile yarn
TDRB,Labour-intensive and resource-intensive manufactures,652,"Cotton fabrics, woven"
TDRB,Labour-intensive and resource-intensive manufactures,653,"Fabrics, woven, of man-made fabrics"
TDRB,Labour-intensive and resource-intensive manufactures,654,"Other textile fabrics, woven"
TDRB,Labour-intensive and resource-intensive manufactures,655,"Knitted or crocheted fabrics, n.e.s."
TDRB,Labour-intensive and resource-intensive manufactures,656,"Tulles, trimmings, lace, ribbons & other small wares"
TDRB,Labour-intensive and resource-intensive manufactures,657,"Special yarn, special textile fabrics & related"
TDRB,Labour-intensive and resource-intensive manufactures,658,"Made-up articles, of textile materials, n.e.s."
TDRB,Labour-intensive and resource-intensive manufactures,659,"Floor coverings, etc."
TDRB,Labour-intensive and resource-intensive manufactures,661,"Lime, cement, fabrica. constr. mat. (excludingglass, clay)"
TDRB,Labour-intensive and resource-intensive manufactures,662,"Clay construction, refracto. construction materials"
TDRB,Labour-intensive and resource-intensive manufactures,663,"Mineral manufactures, n.e.s."
TDRB,Labour-intensive and resource-intensive manufactures,664,Glass
TDRB,Labour-intensive and resource-intensive manufactures,665,Glassware
TDRB,Labour-intensive and resource-intensive manufactures,666,Pottery
TDRB,Labour-intensive and resource-intensive manufactures,821,Furniture & parts
TDRB,Labour-intensive and resource-intensive manufactures,831,"Travel goods, handbags & similar containers"
TDRB,Labour-intensive and resource-intensive manufactures,841,"Men's clothing of textile fabrics, not knitted"
TDRB,Labour-intensive and resource-intensive manufactures,842,"Women's clothing, of textile fabrics"
TDRB,Labour-intensive and resource-intensive manufactures,843,"Men's or boy's clothing, of textile, knitted, croche."
TDRB,Labour-intensive and resource-intensive manufactures,844,"Women's clothing, of textile, knitted or crocheted"
TDRB,Labour-intensive and resource-intensive manufactures,845,"Articles of apparel, of textile fabrics, n.e.s."
TDRB,Labour-intensive and resource-intensive manufactures,846,"Clothing accessories, of textile fabrics"
TDRB,Labour-intensive and resource-intensive manufactures,848,"Articles of apparel, clothing access., excluding textile"
TDRB,Labour-intensive and resource-intensive manufactures,851,Footwear
TDRC,Low-skill and technology-intensive manufactures,671,"Pig iron & spiegeleisen, sponge iron, powder & granu"
TDRC,Low-skill and technology-intensive manufactures,672,"Ingots, primary forms, of iron or steel; semi-finis."
TDRC,Low-skill and technology-intensive manufactures,673,"Flat-rolled prod., iron, non-alloy steel, not coated"
TDRC,Low-skill and technology-intensive manufactures,674,"Flat-rolled prod., iron, non-alloy steel, coated, clad"
TDRC,Low-skill and technology-intensive manufactures,675,Flat-rolled products of alloy steel
TDRC,Low-skill and technology-intensive manufactures,676,"Iron & steel bars, rods, angles, shapes & sections"
