lga_code,lga_name,state,ivi_region
40070,Adelaide (C),SA,Adelaide
40120,Adelaide Hills (DC),SA,Fleurieu Peninsula & Murray Mallee
50080,Albany (C),WA,South West WA
10050,Albury (C),NSW,Riverina & Murray
40220,Alexandrina (DC),SA,Fleurieu Peninsula & Murray Mallee
70200,Alice Springs (T),NT,Regional NT
20110,Alpine (S),VIC,Bendigo & High Country
40250,Anangu Pitjantjatjara (AC),SA,Port Augusta & Eyre Peninsula
20260,Ararat (RC),VIC,Ballarat & Central Highlands
50210,Armadale (C),WA,Perth
10130,Armidale Regional (A),NSW,Tamworth and North West NSW
50250,Ashburton (S),WA,Pilbara & Kimberley
50280,Augusta-Margaret River (S),WA,South West WA
30250,Aurukun (S),QLD,Far North QLD
20570,Ballarat (C),VIC,Ballarat & Central Highlands
10250,Ballina (A),NSW,NSW North Coast
30300,Balonne (S),QLD,Toowoomba and South West QLD
10300,Balranald (A),NSW,Riverina & Murray
30370,Banana (S),QLD,Central QLD
20660,Banyule (C),VIC,Melbourne
30410,Barcaldine (R),QLD,Outback QLD
30450,Barcoo (S),QLD,Outback QLD
70420,Barkly (R),NT,Regional NT
40310,Barossa (DC),SA,Adelaide
40430,Barunga West (DC),SA,Yorke Peninsula & Clare Valley
20740,Bass Coast (S),VIC,Gippsland
50350,Bassendean (T),WA,Perth
10470,Bathurst Regional (A),NSW,Blue Mountains Bathurst & Central West
20830,Baw Baw (S),VIC,Gippsland
20910,Bayside (C),VIC,Melbourne
50420,Bayswater (C),WA,Perth
10550,Bega Valley (A),NSW,Southern Highlands & Snowy
10600,Bellingen (A),NSW,NSW North Coast
50490,Belmont (C),WA,Perth
70540,Belyuen (S),NT,Regional NT
21010,Benalla (RC),VIC,Bendigo & High Country
40520,Berri and Barmera (DC),SA,Fleurieu Peninsula & Murray Mallee
10650,Berrigan (A),NSW,Riverina & Murray
50560,Beverley (S),WA,Goldfields & Southern WA
30760,Blackall-Tambo (R),QLD,Outback QLD
10750,Blacktown (C),NSW,Sydney
10800,Bland (A),NSW,Dubbo & Western NSW
10850,Blayney (A),NSW,Blue Mountains Bathurst & Central West
10900,Blue Mountains (C),NSW,Blue Mountains Bathurst & Central West
50630,Boddington (S),WA,South West WA
10950,Bogan (A),NSW,Dubbo & Western NSW
21110,Boroondara (C),VIC,Melbourne
11100,Botany Bay (C),NSW,Sydney
30900,Boulia (S),QLD,Outback QLD
11150,Bourke (A),NSW,Dubbo & Western NSW
50770,Boyup Brook (S),WA,South West WA
60210,Break O'Day (M),TAS,Launceston and Northeast TAS
11200,Brewarrina (A),NSW,Dubbo & Western NSW
50840,Bridgetown-Greenbushes (S),WA,South West WA
60410,Brighton (M),TAS,Hobart & Southeast TAS
21180,Brimbank (C),VIC,Melbourne
31000,Brisbane (C),QLD,Brisbane
11250,Broken Hill (C),NSW,Dubbo & Western NSW
50910,Brookton (S),WA,South West WA
50980,Broome (S),WA,Pilbara & Kimberley
51080,Broomehill-Tambellup (S),WA,South West WA
51120,Bruce Rock (S),WA,Goldfields & Southern WA
31750,Bulloo (S),QLD,Toowoomba and South West QLD
21270,Buloke (S),VIC,Wimmera & Western
51190,Bunbury (C),WA,South West WA
31820,Bundaberg (R),QLD,Central QLD
31900,Burdekin (S),QLD,Far North QLD
31950,Burke (S),QLD,Outback QLD
60610,Burnie (C),TAS,North West TAS
40700,Burnside (C),SA,Adelaide
11300,Burwood (A),NSW,Sydney
51260,Busselton (C),WA,South West WA
11350,Byron (A),NSW,NSW North Coast
11400,Cabonne (A),NSW,Blue Mountains Bathurst & Central West
32080,Cairns (R),QLD,Far North QLD
51310,Cambridge (T),WA,Perth
11450,Camden (A),NSW,Sydney
